Samples do not have callchains.
           time    cpu  task name                       wait time  sch delay   run time
                        [tid/pid]                          (msec)     (msec)     (msec)
     534.144705 [0002]  threads_app.rb*[2700/2577]          0.000      0.000    104.506 
     534.216769 [0003]  threads_app.rb*[2699/2577]          0.000      0.000    100.300 
     534.245140 [0002]  threads_app.rb*[2700/2577]          0.000      0.000    100.434 
     534.320945 [0003]  threads_app.rb*[2699/2577]          0.000      0.000    104.175 
     534.348784 [0002]  threads_app.rb*[2700/2577]          0.000      0.000    103.644 
     534.422123 [0003]  threads_app.rb*[2699/2577]          0.000      0.000    101.177 
     534.449667 [0002]  threads_app.rb*[2700/2577]          0.000      0.000    100.883 
     534.524712 [0003]  threads_app.rb*[2699/2577]          0.000      0.000    102.589 
     534.550019 [0002]  threads_app.rb*[2700/2577]          0.000      0.000    100.351 
     534.628473 [0003]  threads_app.rb*[2699/2577]          0.000      0.000    103.760 
     534.652949 [0002]  threads_app.rb*[2700/2577]          0.000      0.000    102.930 
     534.731007 [0003]  threads_app.rb*[2699/2577]          0.000      0.000    102.534 
     534.756893 [0002]  threads_app.rb*[2700/2577]          0.000      0.000    103.944 
     534.833203 [0003]  threads_app.rb*[2699/2577]          0.000      0.000    102.196 
     534.859800 [0002]  threads_app.rb*[2700/2577]          0.000      0.000    102.906 
     534.933858 [0003]  threads_app.rb*[2699/2577]          0.000      0.000    100.654 
     534.963177 [0002]  threads_app.rb*[2700/2577]          0.000      0.000    103.377 
     535.038815 [0003]  threads_app.rb*[2699/2577]          0.000      0.000    104.957 
     535.065759 [0002]  threads_app.rb*[2700/2577]          0.000      0.000    102.581 
     535.169675 [0002]  threads_app.rb*[2700/2577]          0.000      0.000    103.916 
     535.270201 [0002]  threads_app.rb*[2700/2577]          0.000      0.000    100.526 
